STATE NAME,POPULATION IN 2014,GUN DEATH RATE (2014),NUMBER OF GUN DEATHS (2014),NICS FIREARM BKGRND CHECK RATE (2014),"RANKING OF FIREARM CHECK RATE (The Smaller, The Better)",NICS Firearm Background Checks (2014),Law Grade,Law Rank
District of Columbia,658893.0,13.05,86.0,78.0,1.0,512.0,,
New Jersey,8938175.0,5.3,468.0,1033.0,2.0,92320.0,A-,3.0
Hawaii,1419561.0,2.6,40.0,1073.0,3.0,15225.0,B+,7.0
New York,19746227.0,4.2,869.0,1851.0,4.0,365427.0,A-,5.0
Rhode Island,1055173.0,2.9,33.0,1933.0,5.0,20400.0,B+,9.0
Maryland,5976407.0,9.0,544.0,2379.0,6.0,142207.0,A-,4.0
Massachusetts,6745408.0,3.2,227.0,2659.0,7.0,179344.0,A-,6.0
Nebraska,1881503.0,9.4,178.0,3644.0,8.0,68568.0,D,21.0
California,38802500.0,7.4,2935.0,3800.0,9.0,1474616.0,A-,1.0
Iowa,3107126.0,7.4,239.0,4088.0,10.0,127022.0,C-,15.0
Nevada,2839099.0,14.7,426.0,4112.0,11.0,116735.0,F,29.0
Michigan,9909877.0,11.1,1093.0,4279.0,12.0,424091.0,C,14.0
Delaware,935614.0,11.1,102.0,4591.0,13.0,42950.0,B-,10.0
Arizona,6731484.0,13.4,917.0,4615.0,14.0,310672.0,F,48.0
Georgia,10097343.0,13.7,1388.0,4799.0,15.0,484580.0,F,27.0
Vermont,626562.0,10.3,69.0,5028.0,16.0,31502.0,F,41.0
Virginia,8326289.0,10.3,885.0,5041.0,17.0,419764.0,D,20.0
Ohio,11594163.0,10.3,1203.0,5144.0,18.0,596389.0,D,19.0
Florida,19893297.0,11.5,2408.0,5200.0,19.0,1034546.0,F,32.0
Texas,26956958.0,10.6,2823.0,5438.0,20.0,1465992.0,F,29.0
Wisconsin,5757564.0,8.2,486.0,5806.0,21.0,334308.0,C-,17.0
Kansas,2904021.0,11.3,328.0,5929.0,22.0,172167.0,F,41.0
South Carolina,4832482.0,15.5,764.0,5996.0,23.0,289764.0,F,34.0
Oregon,3970239.0,11.7,497.0,6122.0,24.0,243044.0,D+,18.0
Maine,1330089.0,9.3,132.0,6247.0,25.0,83085.0,F,24.0
New Mexico,2085572.0,15.8,336.0,6702.0,26.0,139780.0,F,34.0
Louisiana,4649676.0,18.9,890.0,6782.0,27.0,315357.0,F,50.0
Washington,7061530.0,9.6,698.0,6827.0,28.0,482115.0,B-,11.0
Pennsylvania,12787209.0,10.5,1389.0,7032.0,29.0,899241.0,C,13.0
Mississippi,2994079.0,18.0,539.0,7175.0,30.0,214829.0,F,48.0
Connecticut,3596677.0,4.9,186.0,7515.0,31.0,270297.0,A-,2.0
Colorado,5355866.0,12.1,658.0,7716.0,32.0,413284.0,C-,16.0
Arkansas,2966369.0,16.4,491.0,7898.0,33.0,234282.0,F,32.0
Idaho,1634464.0,13.1,212.0,8060.0,34.0,131742.0,F,39.0
Tennessee,6549352.0,14.7,986.0,8144.0,35.0,533394.0,F,34.0
Missouri,6063589.0,15.2,939.0,8527.0,36.0,517063.0,F,44.0
Minnesota,5457173.0,6.6,374.0,8816.0,37.0,481122.0,C,12.0
Utah,2942902.0,12.3,337.0,8964.0,38.0,263812.0,F,38.0
Oklahoma,3878051.0,15.6,608.0,8986.0,39.0,348495.0,F,24.0
New Hampshire,1326813.0,8.6,121.0,9397.0,40.0,124677.0,D-,22.0
North Dakota,739482.0,12.1,94.0,9540.0,41.0,70548.0,F,27.0
South Dakota,853175.0,10.3,89.0,9806.0,42.0,83659.0,F,43.0
Indiana,6596855.0,12.3,812.0,9816.0,43.0,647550.0,D-,23.0
Illinois,12880580.0,9.0,1167.0,10435.0,44.0,1344096.0,B+,8.0
Wyoming,584153.0,16.0,92.0,10796.0,45.0,63063.0,F,44.0
North Carolina,9943964.0,11.7,1201.0,11890.0,46.0,1182349.0,F,29.0
Alaska,736732.0,18.8,142.0,11893.0,47.0,87623.0,F,44.0
Montana,1023579.0,15.8,170.0,11903.0,48.0,121836.0,F,39.0
West Virginia,1850326.0,14.5,284.0,11990.0,49.0,221847.0,F,24.0
Alabama,4849377.0,16.7,808.0,12812.0,50.0,621305.0,F,37.0
Kentucky,4413457.0,13.8,627.0,56468.0,51.0,2492184.0,F,47.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
