Rank,State,State Laws Grade,Death Rate Per 100k,New Smart Gun Laws,Year
1,California,A-,42,yes,2015
2,Connecticut,A-,47,yes,2015
3,New Jersey,A-,45,yes,2015
4,Maryland,A-,36,yes,2015
5,Massachusetts,A-,49,yes,2015
6,New York,A-,48,yes,2015
7,Hawaii,B+,50,yes,2015
8,Illinois,B+,40,yes,2015
9,Rhode Island,B+,46,yes,2015
10,Delaware,B,32,yes,2015
11,Washington,B-,39,yes,2015
12,Minnesota,C,43,,2015
13,Pennsylvania,C,27,yes,2015
14,Oregon,C,28,yes,2015
15,Michigan,C,22,yes,2015
16,Colorado,C-,25,yes,2015
17,Iowa,C-,41,yes,2015
18,Wisconsin,D,35,,2015
19,Ohio,D,29,,2015
20,Virginia,D,33,,2015
21,Nebraska,D,38,yes,2015
22,New Hampshire,D,44,,2015
23,Indiana,D-,18,,2015
24,West Virginia,D-,13,,2015
25,Oklahoma,F,8,,2015
25,North Carolina,F,21,yes,2015
27,Nevada,F,16,,2015
28,South Carolina,F,11,,2015
28,Georgia,F,20,,2015
28,Florida,F,23,,2015
28,North Dakota,F,24,,2015
32,Tennessee,F,10,,2015
33,New Mexico,F,9,,2015
33,Texas,F,31,,2015
35,Maine,F,30,,2015
36,Alabama,F,4,,2015
37,Montana,F,5,,2015
37,Arkansas,F,6,,2015
37,Utah,F,19,,2015
40,South Dakota,F,34,,2015
41,Missouri,F,12,,2015
41,Vermont,F,37,,2015
43,Kentucky,F,17,,2015
44,Louisiana,F,2,,2015
44,Idaho,F,14,,2015
46,Alaska,F,1,,2015
47,Arizona,F,15,,2015
48,Wyoming,F,7,,2015
49,Mississippi,F,3,,2015
50,Kansas,F,26,,2015
